protein	fraction_significant	binom_p_val	binom_fdr	lower_ci_logFC	median_logFC	upper_ci_logFC	lower_ci_av_exprs	median_av_exprs	upper_ci_av_exprs
AT1G33811.1	0	1	1	0.0484296595021548	0.278149700847338	0.682306979877408	16.4393383023878	16.5527605232153	16.7568442778765
AT1G34220.1	0	1	1	-1.04506368618934	-0.13709667400882	0.567042873438964	15.3956824024581	15.7433761995654	16.2167183274994
AT1G34430.1	0.115	1	1	0.498303342358142	0.832038207203408	1.14769794674991	15.9003940171182	16.0454760682369	16.2196597991023
AT1G35720.1	0	1	1	-0.0335298382779499	0.311423837143712	0.604541441984376	16.3838232732098	16.5248366231496	16.6976941548283
AT1G36370.1	0	1	1	0.387788148646635	0.463310586211727	0.532074474673358	17.212145858817	17.2429837975534	17.2776740502112
AT1G41830.1	0	1	1	-0.747199440180977	-0.717415299426138	-0.691964611841097	18.4213262278822	18.4232009262278	18.4254002805563
AT1G42540.1	1	9.33263618504238e-302	7.53943680377352e-300	-4.89508124050274	-4.60770328558602	-4.30578202828389	19.1343880516793	19.2778624950828	19.4298018427668
AT1G42550.1	0.631	5.16700420328254e-17	4.42718314690345e-16	-3.9572624037408	-2.22252435000569	-1.16941249163052	13.7378980950007	14.5964623389435	15.1223563417609
AT1G42970.1	0	1	1	-0.271617798019925	-0.241833657265086	-0.216382969680045	20.4167721425839	20.4186468409295	20.4208461952581
AT1G43170.1	0	1	1	0.529986468472381	0.559770609227221	0.585221296812261	18.8815701927511	18.8834448910967	18.8856442454253
AT1G43190.1	0	1	1	0.0525098477745705	0.082293988529411	0.107744676114451	18.9648730718833	18.9667477702289	18.9689471245574
AT1G43850.1	0	1	1	-0.402592345133877	-0.235457976172017	-0.0143240700467781	15.709006006879	15.7902812988959	15.8910707794719
AT1G44575.1	0.991	2.5033196038818e-280	1.41562723599516e-278	-2.76762795529936	-2.35812617916652	-1.95351728332863	16.8392180951969	17.0409613745728	17.2540755785272
AT1G45201.3	0	1	1	0.131342033577019	0.408120624616622	0.606419513133909	15.4417317315622	15.523419998999	15.6999555663601
AT1G47128.1	0	1	1	-0.644524337541191	-0.614740196786354	-0.589289509201313	17.5844149466526	17.5862896449982	17.5884889993268
AT1G47550.2	0	1	1	-0.275187975725244	-0.0515890431641205	0.0857972804481246	16.1688521150359	16.276206626934	16.3529183015728
AT1G48030.1	0	1	1	-0.00720679809417081	0.0225773426606684	0.0480280302457093	16.5979804144314	16.599855112777	16.6020544671055
AT1G48410.2	0	1	1	-0.385017769541248	-0.22027840619555	-0.139892896378279	15.4913630824981	15.5297345469187	15.6122350967827
AT1G48600.2	0	1	1	-0.00995062284838133	0.0198335179064554	0.0452842054914987	18.4652296226223	18.4671043209679	18.4693036752964
AT1G48610.1	0	1	1	-1.87381449058029	-1.74232837585611	-1.50182339828234	16.7282901434715	16.790672168126	16.9140375354501
AT1G48620.1	0	1	1	-0.226423764562346	-0.196639623807509	-0.171188936222466	16.9322829094679	16.9341576078135	16.936356962142
AT1G48850.1	0.588	1.4464211070525e-08	1.16021437735913e-07	1.10547420694977	2.05601912420427	3.53248858523043	13.7147603735309	14.4454003539529	14.9215316795209
AT1G48900.1	0	1	1	0.0129878132557153	0.467042853242875	0.748671699857854	15.6890505338849	15.8866394134568	16.082740292595
AT1G48920.1	0	1	1	-0.444094560881805	-0.414310420126966	-0.388859732541927	17.5668943780044	17.56876907635	17.5709684306785
AT1G49600.2	0	1	1	0.727558609417622	0.75734275017246	0.7827934377575	16.4187930596137	16.4206677579593	16.4228671122878
AT1G49670.2	0.492	0.704557946098618	1	-3.98688530145055	-2.1370684879539	-0.996412148030131	13.5666866106272	14.4567382846537	15.0016582639774
AT1G49750.1	0	1	1	-0.90949898829774	-0.812347382846734	-0.715662679329193	16.4701252852893	16.5195527321326	16.5644848459568
AT1G49760.1	0	1	1	-0.037797658772222	-0.00801351801738164	0.0174371695676581	17.0096672042987	17.0115419026443	17.0137412569728
AT1G50200.2	0	1	1	-0.780618585518105	-0.750834444763267	-0.725383757178225	16.6137397963177	16.6156144946633	16.6178138489918
AT1G50480.1	0	1	1	-0.289655593423874	-0.259871452669037	-0.234420765083994	16.2590008335557	16.2608755319013	16.2630748862298
AT1G50500.2	0	1	1	-0.816912918933297	-0.0472150194645306	0.531846088091586	15.2245554353635	15.5222662155301	15.9506512146748
AT1G51690.5	0.523	0.0773468532399692	0.52698368080967	-3.88651473406902	-2.15337141144948	-1.03759040098152	13.705449275557	14.5251495874252	15.1165132293463
AT1G51710.1	0	1	1	0.248978400217976	0.278762540972814	0.304213228557856	17.6559800246267	17.6578547229723	17.6600540773008
AT1G51805.1	0	1	1	-0.0951748180019382	0.0755783131241914	0.33196848195507	15.5420824355906	15.6361579425928	15.7357270159812
AT1G51980.1	0	1	1	0.0694824111453941	0.513270392438984	0.912776086692233	16.2227898761183	16.4155002723067	16.6533506419436
AT1G52000.1	0	1	1	0.34323909091086	0.373023231665699	0.398473919250741	16.2420394123616	16.2439141107072	16.2461134650358
AT1G52040.1	0	1	1	1.307690541158	1.33747468191284	1.36292536949788	16.9732705685239	16.9751452668695	16.977344621198
AT1G52100.1	0	1	1	-0.714433453725229	-0.61338792834367	-0.553538601146019	17.1837415216263	17.2304157327521	17.2579539763018
AT1G52360.2	0	1	1	-0.24012721790023	-0.210343077145389	-0.18489238956035	17.6780219850117	17.6798966833573	17.6820960376858
AT1G52380.1	0	1	1	0.194930091051663	0.270329518512644	0.401390837243829	15.9390996716267	15.9741232417677	16.04028301366
AT1G52400.1	0	1	1	1.26318127198044	1.29296541273528	1.31841610032032	19.506262115587	19.5081368139326	19.5103361682611
AT1G52410.2	0.878	4.97037871763692e-142	7.91760328119346e-141	1.70189300888108	2.60175866150539	4.08523971354817	13.9688709886674	14.7226992782684	15.1572748447092
AT1G53240.1	0	1	1	0.068598668310857	0.307434661316828	0.527109835351801	16.8254926885227	16.9157493220236	17.0407106341367
AT1G53280.1	0	1	1	0.329812932003901	0.514096188622405	0.781060024285559	16.7122375737669	16.8509941662705	16.939867046995
AT1G53310.1	0	1	1	-0.149119097133193	-0.0184788884269465	0.0878250323460051	16.802561894166	16.8662014126789	16.9202349769559
AT1G53750.1	0	1	1	-0.172492421938729	-0.142708281183887	-0.117257593598849	17.1226593139099	17.1245340122555	17.126733366584
AT1G54000.1	0	1	1	0.547175585593331	0.576959726348169	0.602410413933211	18.4979543348366	18.4998290331822	18.5020283875107
AT1G54010.1	0	1	1	-0.347363790444194	-0.317579649689353	-0.292128962104314	20.3831037571201	20.3849784554657	20.3871778097942
AT1G54270.1	0	1	1	-0.61805400699285	-0.588269866238016	-0.562819178652977	20.4706476936587	20.4725223920043	20.4747217463328
AT1G54690.1	0	1	1	-0.289804329649487	-0.26002018889465	-0.234569501309612	19.2980331445893	19.2999078429349	19.3021071972634
AT1G55150.2	0	1	1	0.270029665852059	0.437191854134796	0.570726409607474	15.9087884202918	15.9844812006643	16.0508490407097
AT1G55310.3	0.04	1	1	-1.17444723159679	-0.877436753542027	-0.553557472179265	16.1105562900055	16.258950531516	16.4112835476072
AT1G55490.1	0	1	1	0.364791994447731	0.39457613520257	0.420026822787611	16.5779654898643	16.5798401882099	16.5820395425385
AT1G56070.1	0	1	1	0.155675473499392	0.18545961425423	0.21091030183927	20.9808431255835	20.9827178239291	20.9849171782576
AT1G56110.1	0	1	1	-0.0613228751616077	-0.0315387344067696	-0.00608804682172998	16.1502545420061	16.1521292403518	16.1543285946803
AT1G57720.1	0	1	1	-0.500221324498726	-0.470437183743888	-0.444986496158846	18.1245206323277	18.1263953306733	18.1285946850019
AT1G57860.1	0	1	1	0.212154792765821	0.24193893352066	0.267389621105701	18.2852105303367	18.2870852286823	18.2892845830109
AT1G58270.1	0	1	1	-0.441401953188136	-0.411617812433297	-0.386167124848256	18.3557874281686	18.3576621265142	18.3598614808427
AT1G59610.1	0	1	1	-0.470669623326164	-0.312706314213611	-0.176478374545784	16.1287741306012	16.2028740515652	16.2704931252225
AT1G59870.1	0	1	1	-0.0480017553648746	0.0686700858171252	0.169289360020428	15.7140166615623	15.7665662236485	15.8179356101171
AT1G59890.2	0.018	1	1	0.187640963322433	0.533834461358871	0.986557105546654	16.9031377176102	17.0890339721007	17.3085201709085
AT1G60170.1	0.831	7.83529596517421e-106	1.03043252751303e-104	-4.47301479642211	-2.80761056706503	-1.69849666356122	13.9697338908996	14.8140231851312	15.3743296947485
AT1G60420.1	0	1	1	0.099382326951718	0.129166467706554	0.154617155291596	16.8461691098242	16.8480438081698	16.8502431624983
AT1G60780.1	0	1	1	-0.369889234304829	-0.316374216603751	-0.262047447594398	17.0223775266503	17.0463052610943	17.0694590578436
AT1G60940.1	0	1	1	-0.137654047129511	-0.0806531121849217	0.0109982276413154	16.9251325081868	16.951285812581	16.9940753311836
AT1G61010.1	0	1	1	-0.165806654541239	-0.136022513786399	-0.110571826201359	16.8132721930636	16.8151468914092	16.8173462457378
AT1G61040.1	0.627	4.36282563385084e-16	3.65507836435948e-15	-4.19004486979122	-2.38117381983065	-1.23444060866115	13.6863409168482	14.5962294601843	15.163126454466
